compounds,anion_charge,anion_volume,CN
LiCoS2,-0.747,28.619,6
LiCrS2,-1.036,28.982,6
LiVS2,-1.116,29.612,6
Li2(TaS2)3,-1.059,31.627,6
P3m1-LiTiS2,-1.221,31.889,6
Li5(NbS2)7,-1.063,31.946,6
Li9(NbS2)14,-1.021,32.017,6
LiNbS2,-1.107,32.091,6
R3m-LiTiS2,-1.236,32.2,6
Li(NiS)2,-0.792,34.574,6
Li3NbS4,-1.124,34.682,6
LiScS2,-1.333,35.851,6
Li(ZrS2)2,-1.196,35.909,6
Li2SnS3,-1.119,37.132,6
LiZnPS4,-0.755,38.497,4
Li2US3,-1.241,39.374,6
LiErS2,-1.357,40.091,6
LiAlS2,-1.541,40.49,4
LiYS2,-1.409,41.057,6
LiGaS2,-1.044,41.237,4
Li2TeS3,-0.979,41.275,6
Li10Si(PS6)2,-1.129,41.392,"4, 6"
Li3PS4,-0.965,41.626,4
Li10Ge(PS6)2,-1.042,41.761,"4, 6"
LiGdS2,-1.353,41.879,6
Li10Sn(PS6)2,-1.043,42.683,"4, 6"
Li4GeS4,-1.192,42.831,"4, 6"
LiSbS2,-1.04,42.894,6
Li3BS3,-1.403,42.97,4
Li4TiS4,-1.298,43.508,4
Li3SbS4,-1.035,45.006,4
Li4SnS4,-1.229,45.449,4
Li2S,-1.717,46.821,4
LiInS2,-1.045,47.024,4
Li4TiS4,-1.275,47.392,4
Li3CuS2,-1.431,48.98,4
