type  barrier  tet,,,,,,,
Li-O-c-.5-v-.84  1.5504  1.0119,,,,,,,
Li-O-c-.5-v-.86  1.2921  0.8106,,,,,,,
Li-O-c-.5-v-.88  1.0634  0.6337,,,,,,,
Li-O-c-.5-v-.90  0.8599  0.4759,,,,,,,
Li-O-c-.5-v-.92  0.6787  0.3379,,,,,,,
Li-O-c-.5-v-.94  0.5162  0.214,,,,,,,
Li-O-c-.5-v-.96  0.3718  0.1048,,,,,,,
Li-O-c-.5-v-.98  0.2424  0.0065,,,,,,,
Li-O-c-.5-v-1.00  0.2064  -0.0791,,,,,,,
Li-O-c-.5-v-1.02  0.198  -0.1553,,,,,,,
Li-O-c-.5-v-1.04  0.223  -0.223,,,,,,,
Li-O-c-.5-v-1.06  0.2795  -0.2795,,,,,,,
Li-O-c-.6-v-.84  1.5166  0.9634,,,,,,,
Li-O-c-.6-v-.86  1.2565  0.7619,,,,,,,
Li-O-c-.6-v-.88  1.0263  0.5852,,,,,,,
Li-O-c-.6-v-.90  0.8222  0.4284,,,,,,,
Li-O-c-.6-v-.92  0.6407  0.2915,,,,,,,
Li-O-c-.6-v-.94  0.478  0.1683,,,,,,,
Li-O-c-.6-v-.96  0.3336  0.0604,,,,,,,
Li-O-c-.6-v-.98  0.241  -0.0373,,,,,,,
Li-O-c-.6-v-1.00  0.2192  -0.1217,,,,,,,
Li-O-c-.6-v-1.02  0.2074  -0.1975,,,,,,,
Li-O-c-.6-v-1.04  0.2646  -0.2646,,,,,,,
Li-O-c-.6-v-1.06  0.3209  -0.3209,,,,,,,
Li-O-c-.7-v-.84  1.4819  0.9083,,,,,,,
Li-O-c-.7-v-.86  1.2206  0.7095,,,,,,,
Li-O-c-.7-v-.88  0.9893  0.535,,,,,,,
Li-O-c-.7-v-.90  0.7842  0.3797,,,,,,,
Li-O-c-.7-v-.92  0.6018  0.2442,,,,,,,
Li-O-c-.7-v-.94  0.4394  0.1224,,,,,,,
Li-O-c-.7-v-.96  0.2944  0.0156,,,,,,,
Li-O-c-.7-v-.98  0.247  -0.0809,,,,,,,
Li-O-c-.7-v-1.00  0.2324  -0.164,,,,,,,
Li-O-c-.7-v-1.02  0.2386  -0.2386,,,,,,,
Li-O-c-.7-v-1.04  0.3049  -0.3049,,,,,,,
Li-O-c-.7-v-1.06  0.3605  -0.3605,,,,,,,
Li-O-c-.8-v-.84  1.4512  0.8589,,,,,,,
Li-O-c-.8-v-.86  1.1868  0.6603,,,,,,,
Li-O-c-.8-v-.88  0.9532  0.4863,,,,,,,
Li-O-c-.8-v-.90  0.7465  0.3319,,,,,,,
Li-O-c-.8-v-.92  0.5641  0.1978,,,,,,,
Li-O-c-.8-v-.94  0.401  0.0773,,,,,,,
Li-O-c-.8-v-.96  0.3473  -0.0281,,,,,,,
Li-O-c-.8-v-.98  0.3113  -0.1232,,,,,,,
Li-O-c-.8-v-1.00  0.2455  -0.2052,,,,,,,
Li-O-c-.8-v-1.02  0.3206  -0.2787,,,,,,,
Li-O-c-.8-v-1.04  0.3438  -0.3438,,,,,,,
Li-O-c-.8-v-1.06  0.3988  -0.3988,,,,,,,
Li-O-c-.9-v-.84  1.4142  0.8094,,,,,,,
Li-O-c-.9-v-.86  1.1495  0.6126,,,,,,,
Li-O-c-.9-v-.88  0.9156  0.4401,,,,,,,
Li-O-c-.9-v-.90  0.7091  0.2871,,,,,,,
Li-O-c-.9-v-.92  0.5269  0.1542,,,,,,,
Li-O-c-.9-v-.94  0.3641  0.0347,,,,,,,
Li-O-c-.9-v-.96  0.29  -0.0694,,,,,,,
Li-O-c-.9-v-.98  0.2732  -0.1635,,,,,,,
Li-O-c-.9-v-1.00  0.2552  -0.244,,,,,,,
Li-O-c-.9-v-1.02  0.3168  -0.3168,,,,,,,
Li-O-c-.9-v-1.04  0.3809  -0.3809,,,,,,,
Li-O-c-.9-v-1.06  0.4352  -0.4352,,,,,,,
Li-O-c-1.0-v-.84  1.3836  0.7695,,,,,,,
Li-O-c-1.0-v-.86  1.1173  0.5727,,,,,,,
Li-O-c-1.0-v-.88  0.8823  0.4004,,,,16.26,0.8526,16.41,
Li-O-c-1.0-v-.90  0.6759  0.248,,,,17.39,0.6455,0.02749115,0.82510885
Li-O-c-1.0-v-.92  0.4935  0.1156,,,,,,,
Li-O-c-1.0-v-.94  0.3339  -0.0032,,,,,,,
Li-O-c-1.0-v-.96  0.3003  -0.1068,,,,,,,
Li-O-c-1.0-v-.98  0.2842  -0.1994,,,,,,,
Li-O-c-1.0-v-1.00  0.2805  -0.2805,,,,,,,
Li-O-c-1.0-v-1.02  0.3527  -0.3527,,,,,,,
Li-O-c-1.0-v-1.04  0.4159  -0.4159,,,,,,,
Li-O-c-1.0-v-1.06  0.4698  -0.4698,,,,,,,
Li-O-c-1.1-v-.84  1.3554  0.7319,,,,,,,
Li-O-c-1.1-v-.86  1.0884  0.5359,,,,,,,
Li-O-c-1.1-v-.88  0.8526  0.3638,,,,,,,
Li-O-c-1.1-v-.90  0.6455  0.2117,,,,,,,
Li-O-c-1.1-v-.92  0.4623  0.0792,,,,,,,
Li-O-c-1.1-v-.94  0.33790000000000003  -0.0391,,,,,,,
Li-O-c-1.1-v-.96  0.3125  -0.1425,,,,,,,
Li-O-c-1.1-v-.98  0.291  -0.2357,,,,,,,
