type  barrier  tet
Li-S-c-.5-v-1.08  1.175  0.6709
Li-S-c-.5-v-1.10  0.9922  0.5368
Li-S-c-.5-v-1.12  0.823  0.4138
Li-S-c-.5-v-1.14  0.6701  0.3025
Li-S-c-.5-v-1.16  0.5313  0.2011
Li-S-c-.5-v-1.18  0.4031  0.1085
Li-S-c-.5-v-1.20  0.286  0.0239
Li-S-c-.5-v-1.22  0.2322  -0.0527
Li-S-c-.5-v-1.24  0.20989999999999998  -0.1224
Li-S-c-.5-v-1.26  0.1956  -0.1844
Li-S-c-.5-v-1.28  0.2431  -0.2431
Li-S-c-.5-v-1.30  0.2936  -0.2936
Li-S-c-.5-v-1.32  0.339  -0.339
Li-S-c-.5-v-1.34  0.3806  -0.3806
Li-S-c-.6-v-1.08  1.1357  0.6284
Li-S-c-.6-v-1.10  0.9539  0.495
Li-S-c-.6-v-1.12  0.7859  0.3732
Li-S-c-.6-v-1.14  0.634  0.2627
Li-S-c-.6-v-1.16  0.4958  0.1618
Li-S-c-.6-v-1.18  0.3684  0.0699
Li-S-c-.6-v-1.20  0.2658  -0.0138
Li-S-c-.6-v-1.22  0.2358  -0.0898
Li-S-c-.6-v-1.24  0.2207  -0.1584
Li-S-c-.6-v-1.26  0.2212  -0.2212
Li-S-c-.6-v-1.28  0.2778  -0.2778
Li-S-c-.6-v-1.30  0.3277  -0.3277
Li-S-c-.6-v-1.32  0.3743  -0.3743
Li-S-c-.6-v-1.34  0.4155  -0.4155
Li-S-c-.7-v-1.08  1.0976  0.5759
Li-S-c-.7-v-1.10  0.9169  0.4459
Li-S-c-.7-v-1.12  0.7497  0.3266
Li-S-c-.7-v-1.14  0.5983  0.2183
Li-S-c-.7-v-1.16  0.4607  0.1193
Li-S-c-.7-v-1.18  0.3338  0.029
Li-S-c-.7-v-1.20  0.2713  -0.0532
Li-S-c-.7-v-1.22  0.24760000000000001  -0.1279
Li-S-c-.7-v-1.24  0.2326  -0.1955
Li-S-c-.7-v-1.26  0.2572  -0.2572
Li-S-c-.7-v-1.28  0.3126  -0.3126
Li-S-c-.7-v-1.30  0.3619  -0.3619
Li-S-c-.7-v-1.32  0.4073  -0.4073
Li-S-c-.7-v-1.34  0.4481  -0.4481
Li-S-c-.8-v-1.08  1.0682  0.5352
Li-S-c-.8-v-1.10  0.8871  0.405
Li-S-c-.8-v-1.12  0.7177  0.2858
Li-S-c-.8-v-1.14  0.5654  0.1779
Li-S-c-.8-v-1.16  0.3934  0.0795
Li-S-c-.8-v-1.18  0.3093  -0.0105
Li-S-c-.8-v-1.20  0.275  -0.0911
Li-S-c-.8-v-1.22  0.2582  -0.1642
Li-S-c-.8-v-1.24  0.2437  -0.231
Li-S-c-.8-v-1.26  0.2905  -0.2905
Li-S-c-.8-v-1.28  0.3462  -0.3462
Li-S-c-.8-v-1.30  0.3948  -0.3948
Li-S-c-.8-v-1.32  0.4383  -0.4383
Li-S-c-.8-v-1.34  0.4796  -0.4796
Li-S-c-.9-v-1.08  1.0308  0.495
Li-S-c-.9-v-1.10  0.8498  0.3657
Li-S-c-.9-v-1.12  0.6828  0.2476
Li-S-c-.9-v-1.14  0.4983  0.1392
Li-S-c-.9-v-1.16  0.3939  0.0424
Li-S-c-.9-v-1.18  0.2628  -0.0453
Li-S-c-.9-v-1.20  0.2873  -0.1249
Li-S-c-.9-v-1.22  0.2686  -0.1971
Li-S-c-.9-v-1.24  0.2631  -0.2631
Li-S-c-.9-v-1.26  0.323  -0.323
Li-S-c-.9-v-1.28  0.377  -0.377
Li-S-c-.9-v-1.30  0.4255  -0.4255
Li-S-c-.9-v-1.32  0.4695  -0.4695
Li-S-c-.9-v-1.34  0.5089  -0.5089
Li-S-c-1.0-v-1.08  1.0033  0.4625
Li-S-c-1.0-v-1.10  0.8209  0.3327
Li-S-c-1.0-v-1.12  0.6563  0.2177
Li-S-c-1.0-v-1.14  0.5057  0.1116
Li-S-c-1.0-v-1.16  0.369  0.0147
Li-S-c-1.0-v-1.18  0.3169  -0.0733
Li-S-c-1.0-v-1.20  0.2962  -0.1534
Li-S-c-1.0-v-1.22  0.2779  -0.2256
Li-S-c-1.0-v-1.24  0.2915  -0.2915
Li-S-c-1.0-v-1.26  0.3512  -0.3512
Li-S-c-1.0-v-1.28  0.4047  -0.4047
Li-S-c-1.0-v-1.30  0.4531  -0.4531
Li-S-c-1.0-v-1.32  0.4971  -0.4971
Li-S-c-1.0-v-1.34  0.5354  -0.5354
Li-S-c-1.1-v-1.08  0.9781  0.4346
Li-S-c-1.1-v-1.10  0.797  0.3059
Li-S-c-1.1-v-1.12  0.6306  0.1887
Li-S-c-1.1-v-1.14  0.4799  0.0824
Li-S-c-1.1-v-1.16  0.3567  -0.0157
Li-S-c-1.1-v-1.18  0.3242  -0.1022
Li-S-c-1.1-v-1.20  0.3066  -0.1821
Li-S-c-1.1-v-1.22  0.2673  -0.254
Li-S-c-1.1-v-1.24  0.3192  -0.3192
Li-S-c-1.1-v-1.26  0.3785  -0.3785
Li-S-c-1.1-v-1.28  0.4317  -0.4317
Li-S-c-1.1-v-1.30  0.4798  -0.4798
Li-S-c-1.1-v-1.32  0.5232  -0.5232
Li-S-c-1.1-v-1.34  0.5623  -0.5623
Li-S-c-1.2-v-1.08  0.9384  0.3856
Li-S-c-1.2-v-1.10  0.7593  0.26
Li-S-c-1.2-v-1.12  0.5948  0.1457
Li-S-c-1.2-v-1.14  0.4458  0.042
Li-S-c-1.2-v-1.16  0.36360000000000003  -0.0528
Li-S-c-1.2-v-1.18  0.3401  -0.1385
Li-S-c-1.2-v-1.20  0.2909  -0.2162
Li-S-c-1.2-v-1.22  0.3017  -0.2863
Li-S-c-1.2-v-1.24  0.3499  -0.3499
Li-S-c-1.2-v-1.26  0.4078  -0.4078
Li-S-c-1.2-v-1.28  0.4599  -0.4599
Li-S-c-1.2-v-1.30  0.5071  -0.5071
Li-S-c-1.2-v-1.32  0.5495  -0.5495
Li-S-c-1.2-v-1.34  0.5876  -0.5876
Li-S-c-1.3-v-1.08  0.8918  0.3401
Li-S-c-1.3-v-1.10  0.7239  0.2165
Li-S-c-1.3-v-1.12  0.5608  0.104
Li-S-c-1.3-v-1.14  0.4635  0.0021
Li-S-c-1.3-v-1.16  0.3749  -0.0912
Li-S-c-1.3-v-1.18  0.3528  -0.1752
Li-S-c-1.3-v-1.20  0.3335  -0.2513
Li-S-c-1.3-v-1.22  0.3309  -0.3199
Li-S-c-1.3-v-1.24  0.3819  -0.3819
Li-S-c-1.3-v-1.26  0.4383  -0.4383
Li-S-c-1.3-v-1.28  0.4887  -0.4887
Li-S-c-1.3-v-1.30  0.5348  -0.5348
Li-S-c-1.3-v-1.32  0.5761  -0.5761
Li-S-c-1.3-v-1.34  0.6127  -0.6127
Li-S-c-1.4-v-1.08  0.8717  0.3023
Li-S-c-1.4-v-1.10  0.6947  0.1798
Li-S-c-1.4-v-1.12  0.5322  0.0683
Li-S-c-1.4-v-1.14  0.41750000000000004  -0.0326
Li-S-c-1.4-v-1.16  0.3757  -0.1261
Li-S-c-1.4-v-1.18  0.3372  -0.2086
Li-S-c-1.4-v-1.20  0.3148  -0.2831
Li-S-c-1.4-v-1.22  0.3506  -0.3506
Li-S-c-1.4-v-1.24  0.4118  -0.4118
Li-S-c-1.4-v-1.26  0.4668  -0.4668
Li-S-c-1.4-v-1.28  0.5163  -0.5163
Li-S-c-1.4-v-1.30  0.5616  -0.5616
Li-S-c-1.4-v-1.32  0.6044  -0.6044
Li-S-c-1.4-v-1.34  0.6376  -0.6376
Li-S-c-1.5-v-1.08  0.845  0.2678
Li-S-c-1.5-v-1.10  0.6676  0.145
Li-S-c-1.5-v-1.12  0.5077  0.0368
Li-S-c-1.5-v-1.14  0.4245  -0.063
Li-S-c-1.5-v-1.16  0.383  -0.1541
Li-S-c-1.5-v-1.18  0.3786  -0.2367
Li-S-c-1.5-v-1.20  0.3577  -0.3105
Li-S-c-1.5-v-1.22  0.3771  -0.3771
Li-S-c-1.5-v-1.24  0.4375  -0.4375
Li-S-c-1.5-v-1.26  0.5008  -0.492
