type  barrier  tet
Li-Br-c-.15-v-1.08  1.5003  0.9316
Li-Br-c-.15-v-1.10  1.2801  0.7723
Li-Br-c-.15-v-1.12  1.0813  0.6286
Li-Br-c-.15-v-1.14  0.9022  0.4989
Li-Br-c-.15-v-1.16  0.7389  0.3819
Li-Br-c-.15-v-1.18  0.5921  0.2764
Li-Br-c-.15-v-1.20  0.4591  0.1812
Li-Br-c-.15-v-1.22  0.3392  0.0955
Li-Br-c-.15-v-1.24  0.2307  0.0182
Li-Br-c-.15-v-1.26  0.1841  -0.0511
Li-Br-c-.15-v-1.28  0.15760000000000002  -0.1134
Li-Br-c-.15-v-1.30  0.1692  -0.1692
Li-Br-c-.15-v-1.32  0.2192  -0.2192
Li-Br-c-.15-v-1.34  0.2636  -0.2636
Li-Br-c-.15-v-1.36  0.3031  -0.3031
Li-Br-c-.20-v-1.08  1.4785  0.9053
Li-Br-c-.20-v-1.10  1.2594  0.7473
Li-Br-c-.20-v-1.12  1.0613  0.6049
Li-Br-c-.20-v-1.14  0.8823  0.4765
Li-Br-c-.20-v-1.16  0.7205  0.3605
Li-Br-c-.20-v-1.18  0.5742  0.2559
Li-Br-c-.20-v-1.20  0.442  0.1616
Li-Br-c-.20-v-1.22  0.3223  0.0764
Li-Br-c-.20-v-1.24  0.2147  -0.0003
Li-Br-c-.20-v-1.26  0.1861  -0.0694
Li-Br-c-.20-v-1.28  0.15960000000000002  -0.1315
Li-Br-c-.20-v-1.30  0.1872  -0.1872
Li-Br-c-.20-v-1.32  0.237  -0.237
Li-Br-c-.20-v-1.34  0.2815  -0.2815
Li-Br-c-.20-v-1.36  0.3212  -0.3212
Li-Br-c-.25-v-1.08  1.4582  0.8802
Li-Br-c-.25-v-1.10  1.2397  0.7233
Li-Br-c-.25-v-1.12  1.0431  0.5819
Li-Br-c-.25-v-1.14  0.8639  0.4543
Li-Br-c-.25-v-1.16  0.7025  0.3393
Li-Br-c-.25-v-1.18  0.5567  0.2355
Li-Br-c-.25-v-1.20  0.4262  0.1418
Li-Br-c-.25-v-1.22  0.3057  0.0574
Li-Br-c-.25-v-1.24  0.2167  -0.0189
Li-Br-c-.25-v-1.26  0.188  -0.0875
Li-Br-c-.25-v-1.28  0.1653  -0.1494
Li-Br-c-.25-v-1.30  0.2133  -0.2049
Li-Br-c-.25-v-1.32  0.2546  -0.2546
Li-Br-c-.25-v-1.34  0.2991  -0.2991
Li-Br-c-.25-v-1.36  0.3388  -0.3388
