type  barrier  tet
Li-Cl-c-.15-v-1.02  1.4105  0.8711
Li-Cl-c-.15-v-1.04  1.183  0.7055
Li-Cl-c-.15-v-1.06  0.9792  0.5576
Li-Cl-c-.15-v-1.08  0.797  0.4257
Li-Cl-c-.15-v-1.10  0.6341  0.3081
Li-Cl-c-.15-v-1.12  0.488  0.2033
Li-Cl-c-.15-v-1.14  0.3576  0.1098
Li-Cl-c-.15-v-1.16  0.2409  0.0266
Li-Cl-c-.15-v-1.18  0.1841  -0.0473
Li-Cl-c-.15-v-1.20  0.1567  -0.1129
Li-Cl-c-.15-v-1.22  0.1711  -0.1711
Li-Cl-c-.15-v-1.24  0.2224  -0.2224
Li-Cl-c-.15-v-1.26  0.2677  -0.2677
Li-Cl-c-.15-v-1.28  0.3075  -0.3075
Li-Cl-c-.15-v-1.30  0.3423  -0.3423
Li-Cl-c-.20-v-1.02  1.3888  0.8449
Li-Cl-c-.20-v-1.04  1.1621  0.6806
Li-Cl-c-.20-v-1.06  0.9594  0.5341
Li-Cl-c-.20-v-1.08  0.7778  0.4032
Li-Cl-c-.20-v-1.10  0.6154  0.2865
Li-Cl-c-.20-v-1.12  0.4696  0.1823
Li-Cl-c-.20-v-1.14  0.341  0.0893
Li-Cl-c-.20-v-1.16  0.2234  0.0065
Li-Cl-c-.20-v-1.18  0.186  -0.0671
Li-Cl-c-.20-v-1.20  0.1585  -0.1327
Li-Cl-c-.20-v-1.22  0.1908  -0.1908
Li-Cl-c-.20-v-1.24  0.2423  -0.2423
Li-Cl-c-.20-v-1.26  0.2877  -0.2877
Li-Cl-c-.20-v-1.28  0.3276  -0.3276
Li-Cl-c-.20-v-1.30  0.3626  -0.3626
Li-Cl-c-.25-v-1.02  1.3681  0.8191
Li-Cl-c-.25-v-1.04  1.1419  0.656
Li-Cl-c-.25-v-1.06  0.9398  0.5105
Li-Cl-c-.25-v-1.08  0.7585  0.3806
Li-Cl-c-.25-v-1.10  0.5968  0.2647
Li-Cl-c-.25-v-1.12  0.4519  0.1611
Li-Cl-c-.25-v-1.14  0.3216  0.0688
Li-Cl-c-.25-v-1.16  0.2188  -0.0136
Li-Cl-c-.25-v-1.18  0.1882  -0.0869
Li-Cl-c-.25-v-1.20  0.1651  -0.1524
Li-Cl-c-.25-v-1.22  0.2103  -0.2103
Li-Cl-c-.25-v-1.24  0.2618  -0.2618
Li-Cl-c-.25-v-1.26  0.3073  -0.3073
Li-Cl-c-.25-v-1.28  0.3473  -0.3473
Li-Cl-c-.25-v-1.30  0.3826  -0.3826
Li-Cl-c-.30-v-1.02  1.3492  0.7952
Li-Cl-c-.30-v-1.04  1.1232  0.6328
Li-Cl-c-.30-v-1.06  0.921  0.4878
Li-Cl-c-.30-v-1.08  0.7402  0.3586
Li-Cl-c-.30-v-1.10  0.5783  0.2432
Li-Cl-c-.30-v-1.12  0.4344  0.1402
Li-Cl-c-.30-v-1.14  0.3047  0.0483
Li-Cl-c-.30-v-1.16  0.2215  -0.0336
Li-Cl-c-.30-v-1.18  0.1905  -0.1067
Li-Cl-c-.30-v-1.20  0.1718  -0.1718
Li-Cl-c-.30-v-1.22  0.25529999999999997  -0.2296
Li-Cl-c-.30-v-1.24  0.2811  -0.2811
Li-Cl-c-.30-v-1.26  0.3266  -0.3266
Li-Cl-c-.30-v-1.28  0.3667  -0.3667
Li-Cl-c-.30-v-1.30  0.402  -0.402
Li-Cl-c-.35-v-1.02  1.332  0.7733
Li-Cl-c-.35-v-1.04  1.1058  0.6111
Li-Cl-c-.35-v-1.06  0.9041  0.4665
Li-Cl-c-.35-v-1.08  0.7234  0.3375
Li-Cl-c-.35-v-1.10  0.5611  0.2224
Li-Cl-c-.35-v-1.12  0.4163  0.1197
Li-Cl-c-.35-v-1.14  0.2869  0.0283
Li-Cl-c-.35-v-1.16  0.2248  -0.0534
Li-Cl-c-.35-v-1.18  0.1937  -0.1262
Li-Cl-c-.35-v-1.20  0.1911  -0.1911
Li-Cl-c-.35-v-1.22  0.2488  -0.2488
Li-Cl-c-.35-v-1.24  0.3002  -0.3002
Li-Cl-c-.35-v-1.26  0.3456  -0.3456
Li-Cl-c-.35-v-1.28  0.3858  -0.3858
Li-Cl-c-.35-v-1.30  0.4211  -0.4211
Li-Cl-c-.40-v-1.02  1.316  0.7528
Li-Cl-c-.40-v-1.04  1.0899  0.5909
Li-Cl-c-.40-v-1.06  0.8879  0.4464
Li-Cl-c-.40-v-1.08  0.7069  0.3175
Li-Cl-c-.40-v-1.10  0.5447  0.2026
Li-Cl-c-.40-v-1.12  0.3997  0.1
Li-Cl-c-.40-v-1.14  0.2702  0.0087
Li-Cl-c-.40-v-1.16  0.2268  -0.0728
Li-Cl-c-.40-v-1.18  0.199  -0.1454
Li-Cl-c-.40-v-1.20  0.2102  -0.2102
Li-Cl-c-.40-v-1.22  0.2678  -0.2678
Li-Cl-c-.40-v-1.24  0.319  -0.319
