type  barrier  tet
Li-F-c-.15-v-.80  1.7134  1.1494
Li-F-c-.15-v-.82  1.3979  0.9085
Li-F-c-.15-v-.84  1.1249  0.7027
Li-F-c-.15-v-.86  0.89  0.5274
Li-F-c-.15-v-.88  0.6876  0.3778
Li-F-c-.15-v-.90  0.5135  0.2496
Li-F-c-.15-v-.92  0.3633  0.1394
Li-F-c-.15-v-.94  0.2339  0.0449
Li-F-c-.15-v-.96  0.1583  -0.0367
Li-F-c-.15-v-.98  0.1295  -0.1067
Li-F-c-.15-v-1.00  0.1667  -0.1667
Li-F-c-.15-v-1.02  0.218  -0.218
Li-F-c-.15-v-1.04  0.2616  -0.2616
Li-F-c-.15-v-1.06  0.2983  -0.2983
Li-F-c-.15-v-1.08  0.329  -0.329
Li-F-c-.20-v-.80  1.6938  1.1234
Li-F-c-.20-v-.82  1.3776  0.8828
Li-F-c-.20-v-.84  1.1038  0.6774
Li-F-c-.20-v-.86  0.8687  0.5024
Li-F-c-.20-v-.88  0.6657  0.3527
Li-F-c-.20-v-.90  0.4911  0.2244
Li-F-c-.20-v-.92  0.3402  0.1141
Li-F-c-.20-v-.94  0.2253  0.0193
Li-F-c-.20-v-.96  0.1603  -0.0625
Li-F-c-.20-v-.98  0.1385  -0.133
Li-F-c-.20-v-1.00  0.1933  -0.1933
Li-F-c-.20-v-1.02  0.2451  -0.2451
Li-F-c-.20-v-1.04  0.2891  -0.2891
Li-F-c-.20-v-1.06  0.3264  -0.3264
Li-F-c-.20-v-1.08  0.3575  -0.3575
Li-F-c-.25-v-.80  1.6742  1.097
Li-F-c-.25-v-.82  1.3571  0.857
Li-F-c-.25-v-.84  1.0833  0.6521
Li-F-c-.25-v-.86  0.8474  0.4773
Li-F-c-.25-v-.88  0.6441  0.3278
Li-F-c-.25-v-.90  0.4689  0.1995
Li-F-c-.25-v-.92  0.3177  0.0892
Li-F-c-.25-v-.94  0.1931  -0.0056
Li-F-c-.25-v-.96  0.162  -0.0877
Li-F-c-.25-v-.98  0.1583  -0.1583
Li-F-c-.25-v-1.00  0.2191  -0.2191
Li-F-c-.25-v-1.02  0.2712  -0.2712
Li-F-c-.25-v-1.04  0.3157  -0.3157
Li-F-c-.25-v-1.06  0.3534  -0.3534
Li-F-c-.25-v-1.08  0.3851  -0.3851
Li-F-c-.30-v-.80  1.6547  1.0708
