type,barrier,tet,,barrier,1.2,1.22,1.24,1.26,1.28,1.3,1.32,1.34,1.36,1.38,1.4,1.42,1.44,1.46,1.48
Li-I-c-.15-v-1.20,1.3016,0.7695,,0.15,1.3016,1.1152,0.9449,0.7892,0.647,0.5171,0.3985,0.2902,0.2089,0.182,0.157,0.1888,0.2353,0.2772,0.3148
Li-I-c-.15-v-1.22,1.1152,0.6367,,0.2,1.2811,1.0953,0.9258,0.771,0.6297,0.5005,0.3826,0.275,0.211,0.1839,0.1612,0.2049,0.2513,0.2931,0.3307
Li-I-c-.15-v-1.24,0.9449,0.5155,,0.25,1.2617,1.0767,0.9079,0.7536,0.6129,0.4844,0.367,0.2599,0.2133,0.1861,0.1697,0.2208,0.2671,0.3088,0.3464
Li-I-c-.15-v-1.26,0.7892,0.4049,,0.3,1.2446,1.0601,0.892,0.7378,0.5973,0.4691,0.3521,0.2814,0.2159,0.1885,0.1859,0.2367,0.2827,0.3243,0.3618
Li-I-c-.15-v-1.28,0.647,0.3041,,0.35,1.2299,1.0456,0.8774,0.7236,0.5959,0.4551,0.3382,0.2622,0.2185,0.1926,0.2017,0.2524,0.2982,0.3397,0.3771
Li-I-c-.15-v-1.30,0.5171,0.212,,0.4,1.2167,1.0326,0.8644,0.7107,0.5705,0.4422,0.3253,0.2513,0.2211,0.1988,0.2172,0.2677,0.3134,0.3548,0.3922
Li-I-c-.15-v-1.32,0.3985,0.1282,,0.45,1.2042,1.0204,0.8525,0.6989,0.5586,0.4304,0.3133,0.2539,0.2236,0.2048,0.2321,0.2825,0.3284,0.3697,0.4071
Li-I-c-.15-v-1.34,0.2902,0.0519,,0.5,1.1923,1.0088,0.841,0.6877,0.5473,0.4191,0.3018,0.2563,0.2259,0.2112,0.2464,0.3152,0.3428,0.3842,0.4214
Li-I-c-.15-v-1.36,0.2089,-0.0173,,0.55,1.1827,0.9987,0.8305,0.6766,0.5359,0.4075,0.2909,0.2581,0.2306,0.2163,0.2602,0.3108,0.3566,0.3978,0.4351
Li-I-c-.15-v-1.38,0.182,-0.0803,,0.6,1.1633,0.9805,0.8136,0.6609,0.5261,0.3941,0.2933,0.2609,0.2371,0.2229,0.2732,0.3236,0.3691,0.4104,0.4475
